,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
1911,BERLIN P C F,NHL100013,BERLIN,NH,1,2022,2023-01-09T13:57:00.334-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,428.631,0,,Other Management Practice,,,,428.631,Not Applicable,other_system
1912,RIVERBANK WWTP,CAL001310,RIVERBANK,CA,9,2022,2023-01-19T13:37:33.053-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2563.0,0,,Land Application,2563.0,,,,Class B,other_system
1913,METROPOLITAN COUNCIL-ST. CROIX,MNL029998,OAK PARK HEIGHTS,MN,5,2022,2023-02-14T10:33:19.453-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",908.0,0,,Other Management Practice,,,,908.0,Not Applicable,other_system
1922,BISMARCK CITY OF,NDL023434,BISMARCK,ND,8,2022,2023-01-17T17:17:05.055-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",1056.0,0,,Land Application,1056.0,,,,Class B,other_system
1928,SCHENECTADY (C),NYL020516,SCHENECTADY,NY,2,2022,2023-01-10T08:59:44.824-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1820.0,0,,Other Management Practice,,,,1820.0,Class B,other_system
1931,COLUMBUS WWTF,NEL035025,COLUMBUS,NE,7,2022,2023-01-10T10:33:27.604-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,784.3,0,,Land Application,784.3,,,,Class A,other_system
1934,CITY OF HAMILTON,MTL020028,HAMILTON,MT,8,2022,2023-01-10T11:30:32.789-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,63.55,0,,Land Application,238.0,,,,Class A,other_system
1936,NORTHWEST REGIONAL WASTEWATER RECLAMATION FACILITY,NCL110149,RICHLANDS,NC,4,2022,2023-01-10T12:56:38.803-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,12.37,0,,Land Application,12.37,,,,Class B,other_system
1942,HOOKSETT W W T F,NHL100129,HOOKSETT,NH,1,2022,2023-01-25T07:43:26.150-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,231.0,0,,Other Management Practice,,,,231.0,Class A,other_system
1944,CITY OF FOREST CITY,IAL021563,FOREST CITY,IA,7,2022,2023-01-10T13:26:50.367-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,27.9,0,,Land Application,27.9,,,,Class B,other_system
1949,"WILLOWS, CITY OF",CAL078034,WILLOWS,CA,9,2022,2023-01-10T14:07:16.321-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,99.0,0,,Other Management Practice,,,,99.0,Not Applicable,other_system
1953,BUENA VISTA SANITATION DISTRICT,COL045748,BUENA VISTA,CO,8,2022,2023-01-10T14:59:51.232-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,131.5,0,,Other Management Practice,,,,131.5,Not Applicable,other_system
1957,HENDERSON WRF,NVL022098,HENDERSON,NV,9,2022,2023-02-13T18:11:14.547-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6452.0,0,,Other Management Practice,,,,6452.0,Not Applicable,other_system
1958,FALLSBURG (T),NYL024520,SOUTH FALLSBURG,NY,2,2022,2023-01-20T07:04:07.432-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,578.04,0,,Other Management Practice,,,,578.04,Not Applicable,other_system
1962,"COLUMBUS WWTP, CITY OF",INL032573,COLUMBUS,IN,5,2022,2023-02-06T07:54:32.772-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1404.2055,0,,Land Application,280.62,,,,Class B,other_system
1963,ZIONSVILLE WWTP,INL036951,ZIONSVILLE,IN,5,2022,2023-01-11T10:33:34.552-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1122.0,0,,Other Management Practice,,,,1122.0,Class B,other_system
1964,"HERINGTON, CITY OF",KSL022811,HERINGTON,KS,7,2022,2023-01-11T11:02:58.760-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,47.0,0,,Land Application,47.0,,,,Class B,other_system
1966,AVENAL WWTP,CAL038610,AVENAL,CA,9,2022,2023-01-23T12:15:00.662-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",250.6,0,,Other Management Practice,,,,250.6,Class B,other_system
1967,CITY OF SHELDON,IAL032662,SHELDON,IA,7,2022,2023-01-11T15:31:12.186-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,164.0,0,,Land Application,151.0,,,,Class B,other_system
1968,CLINTON TOWN,NJL148237,CLINTON,NJ,2,2022,2023-01-11T13:36:36.009-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,306.82,0,,Other Management Practice,,,,306.82,Not Applicable,other_system
1969,FALLS CITY WWTF,NEL021148,FALLS CITY,NE,7,2022,2023-01-11T12:20:12.948-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,80.2,0,,Other Management Practice,,,,80.2,Not Applicable,other_system
1970,CITY OF GREAT FALLS,MTL021920,GREAT FALLS,MT,8,2022,2023-01-19T13:57:01.107-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1470.26,0,,Other Management Practice,,,,1470.26,Class B,other_system
1974,LOCKPORT (C),NYL027057,LOCKPORT,NY,2,2022,2023-01-13T07:34:03.924-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,598.4,0,,Land Application,598.4,,,,Class A,other_system
1977,"MARINE CORPS BASE, CAMP PENDLETON",CAL109347,CAMP PENDLETON,CA,9,2022,2023-02-16T14:25:18.661-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,260.41,0,,Other Management Practice,,,,258.22,Not Applicable,other_system
1978,RED BLUFF WWRP,CAL078891,RED BLUFF,CA,9,2022,2023-01-11T14:01:36.322-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",444.8,0,,Other Management Practice,,,,444.8,Class B,other_system
1979,IRON MOUNTAIN/KINGSFORD JOINT SEWAGE AUTHORITY,MIL023205,KINGSFORD,MI,5,2022,2023-01-11T14:13:57.145-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",113.99,0,,Land Application,113.99,,,,Class B,other_system
1980,SCHOFIELD BARRACKS WWTP,HIL110141,WAHIAWA,HI,9,2022,2023-01-20T14:11:27.076-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,189.16,0,,Other Management Practice,,,,189.16,Class A,other_system
1986,YUCCA VALLEY HDWD,CALU00189,YUCCA VALLEY,CA,9,2022,2023-01-20T16:06:27.682-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,254.5,0,,Land Application,190.1,,,,Class B,other_system
1991,ONEIDA (C),NYL026956,ONEIDA,NY,2,2022,2023-01-12T08:49:58.688-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,669.96,0,,Other Management Practice,,,,669.96,Class B,other_system
1992,CITY OF WALCOTT,IAL061891,WALCOTT,IA,7,2022,2023-02-08T12:15:27.480-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,47.29,0,,Land Application,47.29,,,,Class B,other_system
1999,"OROVILLE REGION, SEWERAGE COMMISSION",CAL079235,OROVILLE,CA,9,2022,2023-01-12T13:15:02.647-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",465.33,0,,Other Management Practice,,,,465.33,Not Applicable,other_system
2020,CITY OF BUTLER,MOL096229,BUTLER,MO,7,2022,2023-01-12T14:24:21.679-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",106.0,0,,Land Application,104.17,,,,Class B,other_system
2024,CENTER CREEK WASTEWATER TREATMENT BOARD,MOL040185,WEBB CITY,MO,7,2022,2023-01-13T10:18:00.267-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",367.5,0,,Land Application,1222.6,,,,Class B,other_system
2027,CITY OF PERRYVILLE,MOL051144,PERRYVILLE,MO,7,2022,2023-01-12T16:42:34.014-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,179.5,0,,Land Application,179.5,,,,Class B,other_system
2028,JORDANELLE SPECIAL SERVICE DISTRICT WATER RECLAMATION FACILITY,UTL025747,HEBER,UT,8,2022,2023-01-12T16:49:23.163-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,111.0,0,,Surface Disposal,,111.0,,,Class B,other_system
2029,MANTECA WQCF,CAL081558,MANTECA,CA,9,2022,2023-01-12T18:07:29.552-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1415.08,0,,Other Management Practice,,,,1415.08,Class B,other_system
2030,"SEYMOUR WPCF, TOWN OF",CTL100501,SEYMOUR,CT,1,2022,2023-01-12T17:34:23.348-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,349.64,0,,Other Management Practice,,,,349.64,Not Applicable,other_system
2031,PEARLAND ACRES MHP WWTF,TX0135283,WSTLAKE VILLAGE,CA,6,2022,2023-01-19T16:24:33.517-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
2034,TOWN OF EAST GREENWICH,RIL100030,EAST GREENWICH,RI,1,2022,2023-01-13T13:59:45.013-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,253.9,0,,Other Management Practice,,,,253.9,Not Applicable,other_system
2036,CITY OF WASHINGTON,MOL025810,WASHINGTON,MO,7,2022,2023-01-19T09:17:41.012-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",427.4,0,,Land Application,427.4,,,,Class B,other_system
2038,HUNTINGTON (T),NYL021342,HUNTINGTON,NY,2,2022,2023-02-17T12:59:26.735-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,703.8,0,,Other Management Practice,,,,703.8,Class A,other_system
2040,PORTLAND WWTP,INL020095,PORTLAND,IN,5,2022,2023-01-13T10:39:11.347-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,194.091,0,,Other Management Practice,,,,194.091,Class B,other_system
2043,CANAJOHARIE (V),NYL023485,CANAJOHARIE,NY,2,2022,2023-01-13T12:58:12.773-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,129.54,0,,Other Management Practice,,,,129.54,Not Applicable,other_system
2046,RANCHO CALIFORNIA SANTA ROSA WRF,CAL079111,TEMECULA,CA,9,2022,2023-01-13T12:40:49.502-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,461.19,0,,Other Management Practice,,,,461.19,Not Applicable,other_system
2047,COLONIE (T),NYL027758,NEWTONVILLE,NY,2,2022,2023-01-13T12:27:55.780-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,968.93,0,,Other Management Practice,,,,968.93,Not Applicable,other_system
2049,ASHLEY VALLEY WATER REC. FACIL,UTL025348,VERNAL,UT,8,2022,2023-01-20T10:57:05.236-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",605.9,0,,Other Management Practice,,,,605.9,Not Applicable,other_system
2051,OCALA WRF #3,FLL190268,OCALA,FL,4,2022,2023-01-13T13:09:34.065-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",519.52,0,,Other Management Practice,,,,519.52,Not Applicable,other_system
2053,"CLOVIS, CITY OF",NML000002,UNKNOWN,NM,6,2022,2023-01-13T14:17:20.744-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1342.3,0,,Land Application,1276.9,,,,Class A EQ,other_system
2056,NYC DEPT OF ENVIR PROTECTION,NYL026107,CORONA,NY,2,2022,2023-02-17T14:37:09.938-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6472.0,0,,Other Management Practice,,,,6589.0,Not Applicable,other_system
2059,HUMACAO MONOFILL,PRL000008,HUMACAO,PR,2,2022,2023-03-14T10:23:58.279-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",604.44,0,,Surface Disposal,,1208.88,,,Class B,other_system
2060,CITY OF CALIFORNIA,MOL023272,CALIFORNIA,MO,7,2022,2023-01-13T15:29:32.189-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,100.37,0,,Land Application,100.37,,,,Class B,other_system
2063,WOODLAND PARK CITY OF,COL043214,WOODLAND PARK,CO,8,2022,2023-01-18T12:27:20.075-0500,Other,281.11,0,,"Other Management Practice, Land Application",286.11,,,286.1,"Class A EQ, Class A",other_system
2067,CITY OF MARSHALLTOWN WATER POLLUTION CONTROL PLANT ,IAL038610,MARSHALLTOWN,IA,7,2022,2023-01-16T08:54:34.629-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",382.9,0,,Land Application,382.8,,,,Class B,other_system
2068,SUSSEX CNTY MUA U WALLKILL FAC,NJL053350,HARDYSTON TWP,NJ,2,2022,2023-01-16T09:38:44.586-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",962.1,0,,Other Management Practice,,,,962.1,Class A,other_system
2071,NEW DANVILLE COMMUNITY WWTP,TX0132012,WILLIS,TX,6,2022,2023-03-17T13:22:09.006-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
2072,CASCADE CITY OF STP,IAL027740,CASCADE,IA,7,2022,2023-01-17T12:10:07.023-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,42.84,0,,Land Application,42.84,,,,Class B,other_system
2075,MIDDLETOWN (C),NYL026328,MIDDLETOWN,NY,2,2022,2023-01-16T13:48:53.544-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,806.11,0,,Other Management Practice,,,,806.11,Class B,other_system
2087,CITY OF COLUMBIA,MOL097837,COLUMBIA,MO,7,2022,2023-02-15T21:10:09.809-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1796.0,0,,"Land Application, Other Management Practice",1535.8,,,260.3,Class B,other_system
2091,BRAWLEY WWTP,CAL104523,BRAWLEY,CA,9,2022,2023-02-14T12:09:22.411-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,518.0,0,,Other Management Practice,,,,330.0,Class B,other_system
2092,CAMBRIDGE,MNL020362,CAMBRIDGE,MN,5,2022,2023-01-18T09:11:46.272-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,311.6,36,Land Application,Land Application,311.6,,,,Class B,other_system
2093,BLAIR WWTF,NEL021482,BLAIR,NE,7,2022,2023-01-17T10:49:22.839-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,244.9,0,,Land Application,244.9,,,,Class B,other_system
2096,TOWN OF HANOVER,NHL580099,HANOVER,NH,1,2022,2023-01-17T11:26:20.948-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,171.0,0,,Surface Disposal,,171.0,,,Class B,other_system
2098,DANBURY WPCF,CTL100145,DANBURY,CT,1,2022,2023-01-18T09:39:05.969-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2120.0,0,,Incineration,,,2120.0,,,other_system
2103,DELAWARE #1 WATER POL CON FAC,NJL026182,CAMDEN,NJ,2,2022,2023-02-27T11:12:46.788-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5738.51,0,,"Incineration, Other Management Practice, Land Application",2908.84,,363.67,1941.25,Class A,other_system
2105,UNION TWP WWTP,MIL055808,MT. PLEASANT,MI,5,2022,2023-01-17T13:23:49.925-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,34.32,0,,Land Application,34.31,,,,Class B,other_system
2106,CITY OF FULTON,MOL103331,FULTON,MO,7,2022,2023-01-23T12:38:45.706-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",403.09,0,,Land Application,439.1,,,,Class B,other_system
2107,OWEGO (T),NYL022730,APALACHIN,NY,2,2022,2023-01-20T13:13:51.708-0500,Other,25.8,0,,Other Management Practice,,,,18.41,Class B,other_system
2113,FREMONT WWTF,NEL031381,FREMONT,NE,7,2022,2023-01-17T15:49:32.503-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1744.0,0,,Land Application,1584.0,,,,Class B,other_system
2117,MELBOURNE/DB LEE WWTP,FLL010323,MELBOURNE,FL,4,2022,2023-01-26T10:18:46.530-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1183.88,0,,Land Application,1183.88,,,,Class B,other_system
2120,NEW WINDSOR (T),NYL022446,NEW WINDSOR,NY,2,2022,2023-01-18T08:23:22.639-0500,"A POTW that serves 10,000 people or more",412.3,0,,Other Management Practice,,,,412.3,Not Applicable,other_system
2121,TOWN OF BENNINGTON,VTL100021,BENNINGTON,VT,1,2022,2023-02-14T14:54:46.872-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,174.4,0,,Land Application,174.4,,,,Class A EQ,other_system
2127,BRENTWOOD WWTF,CAL082660,BRENTWOOD,CA,9,2022,2023-01-17T16:28:08.599-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1178.88,0,,Other Management Practice,,,,1178.88,Not Applicable,other_system
2128,LOGAN CITY CORPORATION,UTL021920,LOGAN,UT,8,2022,2023-01-19T18:30:20.315-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,592.0,0,,"Land Application, Other Management Practice",448.0,,,144.0,"Class A, Not Applicable",other_system
2131,DEVENS WASTEWATER TREATMENT FACILITY,MAL003600,SHIRLEY,MA,1,2022,2023-01-18T08:03:46.598-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,585.7,0,,Other Management Practice,,,,585.7,Not Applicable,other_system
2138,CITY OF JOPLIN,MOL023256,JOPLIN,MO,7,2022,2023-02-14T10:12:54.439-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1975.0,0,,Land Application,1975.0,,,,Class B,other_system
2144,LEO L. DUBOIS WPCF - BRIDGEWATER CORRECTION COMPLEX,MAL102237,BRIDGEWATER,MA,1,2022,2023-01-18T11:23:18.294-0500,Other,56.3,0,,Other Management Practice,,,,56.3,Not Applicable,other_system
2146,MONTGOMERY TWP MUNI SEW AUTH MONTGOMERY CNTY,PAL053180,MONTGOMERYVILLE,PA,3,2022,2023-01-18T11:58:36.927-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,374.522,0,,Other Management Practice,,,,374.522,Not Applicable,other_system
2148,MIDDLEBOROUGH WWTP - DEPT OF PUBLIC WORKS,MAL101591,MIDDLEBOROUGH,MA,1,2022,2023-01-18T11:30:13.582-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,392.36,0,,Other Management Practice,,,,392.36,Class B,other_system
2149,"MULVANE, CITY OF",KSL098418,MULVANE,KS,7,2022,2023-01-19T12:18:49.619-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,63.9,0,,Land Application,63.9,,,,Class B,other_system
2150,CITY OF KIRKSVILLE,MOL049506,KIRKSVILLE,MO,7,2022,2023-01-18T12:16:36.555-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,122.1,0,,Land Application,122.1,,,,Class B,other_system
2153,CITY OF FARMINGTON,MOL040312,FARMINGTON,MO,7,2022,2023-01-19T10:16:30.254-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,243.2,0,,Land Application,243.2,,,,Class B,other_system
2157,BIG LAKE,MNL041076,BIG LAKE,MN,5,2022,2023-01-18T12:25:19.185-0500,"A POTW that serves 10,000 people or more",260.6,0,,Other Management Practice,,,,260.6,Class B,other_system
2159,CITY OF KANSAS CITY - WSD,MOL048305,KANSAS CITY,MO,7,2022,2023-02-17T09:40:24.891-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",909.35,0,,Other Management Practice,,,,151.64,Not Applicable,other_system
2165,CITY OF KANSAS CITY,MOL048313,KANSAS CITY,MO,7,2022,2023-02-17T09:41:51.340-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",399.46,0,,Other Management Practice,,,,124.17,Not Applicable,other_system
2167,ROUSES POINT (V),NYL021831,ROUSES POINT,NY,2,2022,2023-01-18T13:35:31.209-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,88.26,0,,Other Management Practice,,,,49.95,Class A,other_system
2169,KCMO WATER SERVICES,MOL049531,KANSAS CITY,MO,7,2022,2023-02-17T09:43:16.324-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",3352.61,0,,"Land Application, Other Management Practice",2829.92,,,3352.61,"Class B, Not Applicable",other_system
2173,CITY OF WATERLOO,IAL042650,WATERLOO,IA,7,2022,2023-01-24T12:43:53.393-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2321.57,0,,Land Application,2321.57,,,,Class B,other_system
2175,VALPARAISO WWTP,INL024660,VALPARAISO,IN,5,2022,2023-01-25T14:53:26.363-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",742.48,0,,Land Application,742.48,,,,Class B,other_system
2181,SIKESTON BOARD OF MUNICIPAL UTILITIES,MOL035009,SIKESTON,MO,7,2022,2023-01-19T11:25:39.394-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",264.2746326,0,,"Land Application, Other Management Practice",220.20376774,,,0.480382795,"Class B, Not Applicable",other_system
2186,CITY OF ANAMOSA,IAL025895,ANAMOSA,IA,7,2022,2023-02-06T13:00:05.612-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,133.0,0,,Land Application,133.0,,,,Class B,other_system
2188,MOBERLY CITY OF,MOL117960,MOBERLY,MO,7,2022,2023-01-31T15:40:07.991-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,303.0,0,,Land Application,303.0,,,,Class B,other_system
2189,FORT COLLINS CITY OF,COL047627,FORT COLLINS,CO,8,2022,2023-02-16T17:42:44.931-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1960.11,0,,Land Application,1960.11,,,,Class B,other_system
2190,JEFFERSON WWTF,TX0002542,LAREDO,TX,6,2022,2023-01-24T16:58:04.675-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,7364.05,0,,Surface Disposal,,7364.05,,,Class B,other_system
2196,CITY OF PARK HILLS,MOL103560,PARK HILLS,MO,7,2022,2023-01-19T08:50:20.071-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",103.2,1,Land Application,Land Application,103.2,,,,Class B,other_system
2201,KEMMERER-DIAMONDVILLE JOINT POWERS BOARD,WYL020320,KEMMERER,WY,8,2022,2023-01-19T10:46:32.559-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,35.14,0,,Surface Disposal,,35.14,,,Class B,other_system
2202,TICONDEROGA (T),NYL036706,TICONDEROGA,NY,2,2022,2023-01-20T11:40:11.485-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,108.29,0,,Land Application,108.29,,,,Class B,other_system
2218,CARMEL WWTP,INL022497,INDIANAPOLIS,IN,5,2022,2023-01-19T11:36:40.007-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1326.0,0,,Other Management Practice,,,,1388.0,Class A,other_system
2219,POUGHKEEPSIE (T),NYL026271,POUGHKEEPSIE,NY,2,2022,2023-01-19T13:14:31.326-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",703.0,0,,Land Application,703.0,,,,Class A,other_system
2220,"WINFIELD, CITY OF",KSL051926,WINFIELD,KS,7,2022,2023-01-19T13:30:59.573-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",511.2,0,,Land Application,299.0,,,,Class B,other_system
2223,"HUTCHINSON, CITY OF",KSL036188,HUTCHINSON,KS,7,2022,2023-02-14T09:41:27.727-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",996.3,0,,"Surface Disposal, Land Application",996.3,996.3,,,Class B,other_system
2225,ELKO WRF,NVL000055,ELKO,NV,9,2022,2023-01-19T14:03:01.364-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,481.44,0,,Other Management Practice,,,,481.44,Class B,other_system
2227,WESTMINSTER CITY OF,COL024171,WESTMINSTER,CO,8,2022,2023-02-07T16:11:15.062-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1188.4,0,,"Land Application, Other Management Practice",646.7,,,541.7,Class B,other_system
2229,WESTFIELD W P C P,MAL101800,WESTFIELD,MA,1,2022,2023-01-19T13:33:30.908-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,958.0,0,,Incineration,,,958.0,,,other_system
2232,HERITAGE VILLAGE COMPANY,CTL101133,SOUTHBURY,CT,1,2022,2023-01-19T15:14:54.509-0500,Other,77.42,0,,Other Management Practice,,,,77.42,Not Applicable,other_system
2233,INLAND BAYS REGIONAL WASTEWATER FACILITY,DEL020011,MILLSBORO,DE,3,2022,2023-01-25T13:54:01.775-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1995.55,0,,Land Application,,,,,Class A,other_system
2234,CITY OF BURLINGTON,IAL043079,BURLINGTON,IA,7,2022,2023-02-09T15:59:52.076-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",399.0,0,,Land Application,337.0,,,,Class B,other_system
2237,CITY OF KANSAS CITY,MOL024929,KANSAS CITY,MO,7,2022,2023-02-17T09:37:12.521-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",6558.16,0,,Other Management Practice,,,,6558.16,Not Applicable,other_system
2243,UC DAVIS MAIN WWTP,CAL077895,DAVIS,CA,9,2022,2023-02-13T10:55:19.358-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",173.19,0,,Other Management Practice,,,,179.13,Not Applicable,other_system
2244,CITY OF LEMARS,IAL036536,LEMARS,IA,7,2022,2023-01-31T09:13:18.835-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1601.0,0,,Land Application,683.6,,,,Class B,other_system
