,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),sic_permit
1276,KINGWOOD WEST WWTP,TX0088501,HOUSTON,TX,6,2022,2022-09-30T12:02:46.416-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,59.41,0,,Other Management Practice,,,,59.41,Not Applicable,"[4952, 4952, 4952]"
1277,CEDAR BAYOU WWTF,TX0103667,HOUSTON,TX,6,2022,2022-09-30T12:03:44.074-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day,65.93,0,,Other Management Practice,,,,65.93,Not Applicable,"[4952, 4952, 4952]"
1278,FOREST COVE WWTP,TX0115924,HOUSTON,TX,6,2022,2022-09-30T12:04:45.807-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,40.35,0,,Other Management Practice,,,,40.35,Not Applicable,"[4952, 4952, 4952]"
1279,WEST LAKE HOUSTON WWTF,TX0128244,HOUSTON,TX,6,2022,2022-09-30T12:05:57.106-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,26.53,0,,Other Management Practice,,,,26.53,Not Applicable,"[4952, 4952, 4952]"
1280,HARRIS COUNTY MUD 400 WWTP,TX0125661,HOUSTON,TX,6,2022,2022-09-30T13:35:18.671-0500,Other,74.6725153,0,,"Land Application, Other Management Practice",70.8925153,,,3.78,Class B,"[4952, 4952]"
1281,WILLOW CREEK WWTP,TX0113786,SMITHVILLE,TX,6,2022,2022-09-29T08:06:20.164-0500,Other,23.14,0,,Surface Disposal,,23.14,,,Class A,"[4952, 4952]"
1282,CITY OF ELECTRA WWTP,TX0026964,ELECTRA,TX,6,2022,2022-09-29T08:06:51.885-0500,Other,0.0,0,,Surface Disposal,,,,,Class B,"[4952, 4952]"
1283,GAZLEY CREEK WWTP,TX0022951,SMITHVILLE,TX,6,2022,2022-09-29T08:10:06.683-0500,Other,37.4,0,,Surface Disposal,,37.47,,,Class A,"[4952, 4952, 4941]"
1284,HARRIS COUNTY MUD 400 WWTP 2,TX0129666,HOUSTON,TX,6,2022,2022-09-30T13:43:16.266-0500,Other,173.277421,0,,Land Application,173.277421,,,,Class B,"[4952, 4952]"
1285,CITY OF DAINGERFIELD WWTP,TX0027031,DAINGERFIELD,TX,6,2022,2022-09-30T12:03:39.209-0500,Other,4.5,0,,Other Management Practice,,,,4.5,Not Applicable,"[4952, 4952]"
1286,HORSEPEN CREEK WWTF,TX0129071,HOUSTON,TX,6,2022,2022-09-30T13:42:18.723-0500,Other,314.684208181,0,,"Land Application, Other Management Practice",0.984208181,,,313.7,Class B,"[4952, 4952]"
1287,CHISHOLM SPRINGS WWTP,TX0119687,AUSTIN,TX,6,2022,2022-09-29T09:28:51.446-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,33.67,0,,Other Management Practice,,,,33.67,Class B,[4952]
1288,TIMBERWILDE WWTP,TX0089915,AUSTIN,TX,6,2022,2022-09-29T08:33:07.185-0500,Other,10.58,0,,Other Management Practice,,,,10.58,Not Applicable,[4952]
1289,SHALE CREEK WWTP,TX0122661,AUSTIN,TX,6,2022,2022-09-30T15:20:04.369-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Class B,[4952]
1290,GREENFIELD WWTP,TX0118028,AUSTIN,TX,6,2022,2022-09-29T08:48:43.645-0500,Other,10.58,0,,Other Management Practice,,,,10.58,Not Applicable,[4952]
1291,WILLOW RIVER FARMS WWTP,TX0104299,HOUSTON,TX,6,2022,2022-09-29T08:53:38.417-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[8052, 4952, 8052]"
1292,HARRIS COUNTY MUD 530 WWTP,TX0134759,HOUSTON,TX,6,2022,2022-09-30T13:44:53.210-0500,Other,18.5629234,0,,Land Application,18.56292342,,,,Class B,[4952]
1293,SAM HOUSTON AREA COUNCIL BSA WWTP,TX0136948,HOUSTON,TX,6,2022,2022-09-29T08:46:46.191-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,[4952]
1294,SPRING OAKS MHP WWTP,TX0092088,NAVASOTA,TX,6,2022,2022-09-29T16:57:22.672-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,1.27,0,,Other Management Practice,,,,1.27,Class B,[6515]
1295,ASTRO WWTP,TX0094790,AUSTIN,TX,6,2022,2022-09-29T09:01:30.354-0500,Other,2.27,0,,Other Management Practice,,,,2.27,Not Applicable,[6515]
1296,WESTSIDE WWTP,TX0114821,LA MARQUE,TX,6,2022,2022-09-29T09:31:57.267-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",187.39,0,,Surface Disposal,,187.39,,,Class B,"[4952, 4952, 4952]"
1297,ASHLEY OAKS WWTP,TX0117234,AUSTIN,TX,6,2022,2022-09-29T09:07:54.576-0500,Other,6.05,0,,Other Management Practice,,,,6.05,Not Applicable,"[6515, 4952]"
1298,CHRISTIAN TABERNACLE WWTF,TX0126594,HOUSTON,TX,6,2022,2022-09-29T16:51:15.288-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,[8661]
1299,PALM CREST WWTP,TX0119547,AUSTIN,TX,6,2022,2022-09-29T09:20:30.108-0500,Other,10.58,0,,Other Management Practice,,,,10.58,Not Applicable,[4952]
1300,GRAND OAKS BUSINESS PARK,TX0139068,RICHMOND,TX,6,2022,2022-09-29T16:33:34.015-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,['NO_SIC_MATCH']
1301,FORT BEND COUNTY MUD NO. 130 WWTF,TX0118109,HOUSTON,TX,6,2022,2022-09-29T09:43:28.607-0500,Other,51.13,0,,Other Management Practice,,,,51.13,Not Applicable,"[4952, 4952]"
1302,AUTUMN SHADOWS WWTP,TX0091421,BELLAIRE,TX,6,2022,2022-09-29T16:30:15.789-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,[4952]
1303,DISTRICT 249 BAR AND GRILL,TX0092894,HOUSTON,TX,6,2022,2022-09-29T16:48:28.485-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4971, 4952]"
1304,TDCJ DARRINGTON WWTP,TX0031585,HUNTSVILLE,TX,6,2022,2022-09-29T09:43:27.864-0500,Other,2.53,0,,Other Management Practice,,,,2.53,Class B,"[4953, 213, 9223, 213, 9223, 252, 9223]"
1305,HARRIS COUNTY MUD 531 WWTP,TX0135119,HOUSTON,TX,6,2022,2022-09-30T13:45:28.653-0500,Other,33.26,0,,Other Management Practice,,,,33.26,Class B,"[4952, 4952]"
1306,CLOVER CREEK MUD  WWTP,TX0097969,HOUSTON,TX,6,2022,2022-09-29T10:14:09.475-0500,Other,19.4381116,0,,Land Application,19.4381116,,,,Class B,"[4952, 4952]"
1307,NORTH PLANT WWTP,TX0023728,SILSBEE,TX,6,2022,2022-09-29T10:01:49.896-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,3.62,0,,Other Management Practice,,,,3.62,Not Applicable,"[4952, 4952]"
1308,ROSEMEADOWS III - WWTP,TX0122459,AUSTIN,TX,6,2022,2022-09-29T15:14:03.522-0500,Other,16.63,0,,Other Management Practice,,,,16.63,Not Applicable,[6515]
1309,HARRIS COUNTY MUD 6 WWTP,TX0026352,HOUSTON,TX,6,2022,2022-09-30T12:20:16.990-0500,Other,30.99,0,,Other Management Practice,,,,30.99,Class B,"[4952, 4952]"
1310,FORT BEND COUNTY MUD 133 WWTP,TX0126624,HOUSTON,TX,6,2022,2022-09-29T09:58:46.418-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,109.52,0,,Other Management Practice,,,,109.52,Not Applicable,"[4952, 4952]"
1311,JACINTOPORT INDUSTRIAL DEV WWT,TX0117897,WILMINGTON,NC,6,2022,2022-09-29T09:53:48.049-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,[4952]
1312,HARRIS COUNTY WCID 109 WWTP,TX0033243,HOUSTON,TX,6,2022,2022-09-30T12:23:00.904-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,214.7428335,0,,"Land Application, Other Management Practice",111.8328335,,,102.91,Class B,"[4952, 4952]"
1313,PRESTONWOOD FOREST UD WWTP,TX0046701,HOUSTON,TX,6,2022,2022-09-29T11:39:33.644-0500,Other,77.5556047,0,,Land Application,77.55560462,,,,Class B,"[4952, 4952]"
1314,ROYAL COACH TRAILS MHP WWTP,TX0088650,NAVASOTA,TX,6,2022,2022-09-29T16:53:43.790-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 6515, 6515, 4952]"
1315,MONTGOMERY COUNT MUD 137 WWTP ,TX0134856,HOUSTON,TX,6,2022,2022-09-29T10:04:53.498-0500,Other,6.05,0,,Other Management Practice,,,,6.05,Not Applicable,"[4952, 4952]"
1316,AUBREY WWTF,TX0056588,AUBREY,TX,6,2022,2022-09-30T14:03:47.574-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,37.77,0,,Other Management Practice,,,,22.93,Class A,"[4952, 4952]"
1317,DRY CREEK WWTF,TX0025445,PITTSBURG,TX,6,2022,2022-09-29T10:35:30.135-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1318,CITY OF SILSBEE SOUTH WWTP,TX0023736,SILSBEE,TX,6,2022,2022-09-29T10:14:45.251-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,9.33,0,,Other Management Practice,,,,9.33,Not Applicable,"[4952, 4952]"
1319,SI ENTERPRISES WWTP,TX0134872,HOUSTON,TX,6,2022,2022-09-29T10:11:42.510-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4213, 4952, 4231, 4225, 4213, 4952, 4952, 4226]"
1320,HARRIS COUNTY MUD 157 WWTP,TX0074896,HOUSTON,TX,6,2022,2022-09-29T10:13:43.605-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,308.77,0,,Other Management Practice,,,,308.77,Not Applicable,"[4952, 4952]"
1321,WINDFERN MHP WWTP,TX0133582,NAVASOTA,TX,6,2022,2022-09-29T16:58:37.539-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,0.0,0,,Other Management Practice,,,,,Not Applicable,"[6515, 4952, 6515, 6515]"
1322,FORT BEND CNTY MUD 50 WWTP,TX0129267,HOUSTON,TX,6,2022,2022-09-29T10:19:31.017-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1323,CITY OF SHINER WWTP,TX0026042,SHINER,TX,6,2022,2022-09-29T10:32:02.419-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,799.0,0,,Other Management Practice,,,,799.0,Not Applicable,"[4952, 4952, 4952]"
1324,BIG EDDY WWTP,TX0137995,TYLER,TX,6,2022,2022-09-30T08:28:14.727-0500,Other,3.9,0,,Other Management Practice,,,,2.947,Class B,['NO_SIC_MATCH']
1325,EASTHAM UNIT WWTP,TX0031593,HUNSTVILLE,TX,6,2022,2022-09-29T10:28:55.935-0500,Other,10.17,0,,Other Management Practice,,,,10.17,Class B,"[252, 4952, 213, 4952, 213, 723, 9223, 4952]"
1326,MONTGOMERY COUNTY MUD 166 WWTP,TX0138851,HOUSTON,TX,6,2022,2022-09-29T10:22:52.989-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1327,WHITE OAK RANCH WWTP,TX0119504,AUSTIN,TX,6,2022,2022-09-29T10:27:33.168-0500,Other,3.02,0,,Other Management Practice,,,,3.02,Not Applicable,[4952]
1328,FORT BEND COUNTY MUD 184 WWTP,TX0135747,HOUSTON,TX,6,2022,2022-09-29T10:28:51.725-0500,Other,21.31,0,,Other Management Practice,,,,21.31,Not Applicable,[4952]
1329,HARRIS COUNTY WCID 110 WWTP,TX0076481,HOUSTON,TX,6,2022,2022-09-30T12:54:05.548-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,133.44,0,,Other Management Practice,,,,133.44,Class B,"[4952, 4952]"
1330,HARRIS COUNTY MUD 285 WWTP,TX0095451,HOUSTON,TX,6,2022,2022-09-29T10:33:07.781-0500,Other,156.5,0,,Other Management Practice,,,,156.5,Not Applicable,"[4952, 4952]"
1331,TDCJ ELLIS UNIT WWTP,TX0031607,HUNTSVILLE,TX,6,2022,2022-09-29T10:59:48.410-0500,Other,27.57,0,,Other Management Practice,,,,27.57,Class B,"[213, 213, 9223, 9223, 213, 252, 9223]"
1332,CINCO MUD,TX0098965,HOUSTON,TX,6,2022,2022-09-29T10:47:52.175-0500,Other,2.23,0,,Land Application,2.23,,,,Class B,"[4952, 4952]"
1333,HARRIS FORT BEND COUNTIES MUD 3 WW,TX0124451,HOUSTON,TX,6,2022,2022-09-30T13:30:30.096-0500,Other,65.66,0,,Other Management Practice,,,,65.66,Class B,"[4952, 4952]"
1334,APPLE SPRINGS ISD WETLANDS WWT,TX0118966,APPLE SPRINGS,TX,6,2022,2022-09-29T11:05:24.253-0500,Other,0.0,0,,Other Management Practice,,,,26.8,Not Applicable,[8211]
1335,MARE BRANCH WWTP,TX0124583,HOUSTON,TX,6,2022,2022-09-29T10:52:31.752-0500,Other,7.42092968,0,,Land Application,7.42092968,,,,Class B,"[4952, 4952]"
1336,MAHAFFEY ROAD WWTP,TX0122530,AUSTIN,TX,6,2022,2022-09-29T10:43:51.763-0500,Other,25.7,0,,Other Management Practice,,,,25.7,Not Applicable,[4952]
1337,MORTON ROAD WWTF,TX0119121,HOUSTON,TX,6,2022,2022-09-30T13:10:56.735-0500,Other,12.84,0,,Other Management Practice,,,,12.85,Class B,[6515]
1338,HARRIS CO MUD 285 WWTF 2,TX0092991,HOUSTON,TX,6,2022,2022-09-29T10:50:03.935-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,87.07,0,,Other Management Practice,,,,87.07,Not Applicable,"[4952, 4952]"
1339,LAKE CONROE FOREST WWTP,TX0125113,AUSTIN,TX,6,2022,2022-09-30T11:31:49.653-0500,Other,21.92,0,,Other Management Practice,,,,21.92,Not Applicable,[4952]
1340,HARRIS COUNTY MUD 360 WWTP,TX0113107,HOUSTON,TX,6,2022,2022-09-29T10:57:39.505-0500,Other,32.61,0,,Other Management Practice,,,,32.61,Not Applicable,"[4952, 4952]"
1341,WATERWOOD MUD 1 WWTP,TX0124150,HOUSTON,TX,6,2022,2022-09-29T11:09:01.465-0500,Other,3.02,0,,Other Management Practice,,,,3.02,Not Applicable,"[4952, 4952]"
1342,KLEINWOOD  CENTRAL WWTP,TX0046817,HOUSTON,TX,6,2022,2022-09-30T12:47:22.246-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,283.04,0,,"Land Application, Other Management Practice",161.66,,,121.38,Class B,"[4952, 4952, 4952]"
1343,GRANGER PINES WWTP,TX0138533,HOUSTON,TX,6,2022,2022-09-29T11:11:32.169-0500,Other,4.743,0,,Other Management Practice,,,,4.743,Class B,[4952]
1344,HOLLY LAKE RANCH WWTF,TX0089362,TYLER,TX,6,2022,2022-09-30T08:29:38.307-0500,Other,0.72,0,,Other Management Practice,,,,0.72,Class B,[4952]
1345,POLK COUNTY SAFETY REST AREA WWTF,TX0125091,AUSTIN,TX,6,2022,2022-09-29T11:12:27.082-0500,"A POTW that serves 10,000 people or more",4.57,0,,Other Management Practice,,,,4.57,Class B,"[7033, 7033]"
1346,TDCJ ESTELLE UNIT ,TX0092789,HUNTSVILLE,TX,6,2022,2022-09-29T11:17:27.634-0500,Other,81.66,0,,Other Management Practice,,,,163.32,Class B,"[9223, 9223]"
1347,WEST HARRIS COUNTY MUD 11 WWTP,TX0111937,HOUSTON,TX,6,2022,2022-09-29T11:53:07.875-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,93.73,0,,Other Management Practice,,,,93.73,Class B,"[4952, 4952]"
1348,LAKE FOREST REGIONAL WWTP,TX0046833,HOUSTON,TX,6,2022,2022-09-30T12:48:47.255-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,216.11,0,,"Land Application, Other Management Practice",64.12,,,151.99,Class B,"[4952, 4952]"
1349,CITY OF MALAKOFF WWTP,TX0020559,MALAKOFF,TX,6,2022,2022-09-29T14:14:37.267-0500,Other,15.39,0,,Other Management Practice,,,,15.39,Not Applicable,"[4952, 4952, 4952]"
1350,HARRIS CO MUD 387 WWTP,TX0124907,HOUSTON,TX,6,2022,2022-09-29T11:22:23.773-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,350.68,0,,Other Management Practice,,,,350.68,Not Applicable,"[4952, 4952]"
1351,WINDOM,MNL022217,WINDOM,MN,5,2022,2022-09-29T11:37:15.857-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,184.0,0,,Land Application,184.0,,,,Class B,"[4952, 4952, 4952]"
1352,MAYDE CREEK MUD WWTP,TX0076660,HOUSTON,TX,6,2022,2022-09-30T12:55:22.187-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,204.76,0,,"Land Application, Other Management Practice",180.02,,,24.74,Class B,"[4952, 4952]"
1353,TDCJ JESTER I UNIT WWTP,TX0031674,RICHMOND,TX,6,2022,2022-09-29T11:29:51.068-0500,Other,16.3,0,,Other Management Practice,,,,16.3,Class B,"[4952, 9223, 4952, 9223]"
1354,MEMORIAL POINT UD WWTP,TX0022845,HOUSTON,TX,6,2022,2022-09-29T11:22:17.783-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1355,MOSCOW WWTP,TX0075701,MOSCOW,TX,6,2022,2022-09-29T11:24:50.591-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,[4941]
1356,SHADOW BAY  WWTP,TX0027391,AUSTIN,TX,6,2022,2022-09-29T11:44:16.837-0500,Other,10.58,0,,Other Management Practice,,,,10.58,Not Applicable,[4952]
1357,HARRIS COUNTY MUNICIPAL UTILITY DISTRICT NO 438 WWTP,TX0136484,KATY,TX,6,2022,2022-09-29T11:24:51.790-0500,Other,1.62,0,,Other Management Practice,,,,1.62,Not Applicable,"[4952, 4952]"
1358,EAGLE PASS WWTF,TX0107492,EAGLE PASS,TX,6,2022,2022-09-30T12:29:01.111-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,654.8,0,,Land Application,654.8,,,,Class B,"[4952, 4952, 4952]"
1359,SPRING TRAILS WWTF,TX0128295,HOUSTON,TX,6,2022,2022-09-30T13:40:06.156-0500,Other,176.88,0,,Other Management Practice,,,,176.88,Class B,"[4952, 4952]"
1360,HARRIS COUNTY MUNICIPAL UTILITY DISTRICT NO 495 WWTP,TX0135143,HOUSTON,TX,6,2022,2022-09-29T11:38:22.968-0500,Other,80.94,0,,Other Management Practice,,,,80.94,Not Applicable,"[4952, 4952]"
1361,WESTWOOD SHORES MUD WWTF,TX0027677,TRINITY,TX,6,2022,2022-09-29T11:28:34.131-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4941, 4952, 4952]"
1362,HARRIS COUNTY MUD 189 WWTP,TX0083712,HOUSTON,TX,6,2022,2022-09-29T12:01:23.217-0500,Other,138.64,0,,Other Management Practice,,,,138.64,Class B,"[4952, 4952, 4952]"
1363,LEE COUNTY WWTP,TX0132659,COUPLAND,TX,6,2022,2022-09-30T09:59:46.528-0500,Other,13.577,0,,Other Management Practice,,,,13.577,Not Applicable,[4941]
1364,WALLER CO MUD 19,TX0139149,HOUSTON,TX,6,2022,2022-09-29T11:31:47.097-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1365,TDCJ JESTER 3 UNIT WWTP,TX0089036,HUNTSVILLE,TX,6,2022,2022-09-29T11:41:07.970-0500,Other,20.49,0,,Other Management Practice,,,,20.49,Class B,"[9223, 9223]"
1366,HARRIS COUNTY MUD 82 WWTP,TX0071528,HOUSTON,TX,6,2022,2022-09-29T11:44:43.570-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,205.27,0,,Land Application,205.27,,,,Class B,"[4952, 4952]"
1367,EMERALD FOREST UD WWTP,TX0027324,HOUSTON,TX,6,2022,2022-09-30T11:29:08.317-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,97.46,0,,Other Management Practice,,,,97.46,Class B,"[4952, 4952]"
1368,HARRIS COUNTY MUD 495 WWTP 2,TX0138002,HOUSTON,TX,6,2022,2022-09-29T11:45:14.463-0500,Other,48.66,0,,Other Management Practice,,,,48.66,Not Applicable,"[4952, 4952]"
1369,JACINTOPORT TERMINAL WWTP,TX0087998,HOUSTON,TX,6,2022,2022-09-29T11:46:02.264-0500,Other,3.78,0,,Other Management Practice,,,,3.78,Not Applicable,"[4952, 4491, 4952, 4952]"
1370,LOLITA WWTF,TX0064998,LOLITA,TX,6,2022,2022-09-29T11:50:32.521-0500,Other,6.05,0,,Other Management Practice,,,,6.05,Class B,"[4952, 4952]"
1371,HARRIS COUNTY MUD 276 WWTP,TX0095532,HOUSTON,TX,6,2022,2022-09-29T11:46:48.783-0500,Other,35.92,0,,Other Management Practice,,,,35.92,Not Applicable,"[4952, 4952, 4952]"
1372,TDCJ FERGUSON UNIT WWTP,TX0031615,HUNSTVILLE,TX,6,2022,2022-09-29T12:05:30.175-0500,Other,9.09,0,,Other Management Practice,,,,9.09,Class B,"[9223, 4952, 9223, 213, 9223, 213, 213]"
1373,ROSEHILL RESERVE-HARRIS COUNTY MUD 542 WWTP 1,TX0135925,HOUSTON,TX,6,2022,2022-09-29T11:55:51.740-0500,Other,27.542,0,,Other Management Practice,,,,27.5542,Not Applicable,[4952]
1374,MEMORIAL HILLS UD WWTP,TX0046671,HOUSTON,TX,6,2022,2022-09-30T12:28:52.209-0500,Other,40.06,0,,Other Management Practice,,,,40.06,Class B,"[4952, 4952]"
1375,HARRIS COUNTY MUD 371 WWTP,TX0117129,HOUSTON,TX,6,2022,2022-09-29T11:52:05.068-0500,Other,78.61,0,,Other Management Practice,,,,78.61,Not Applicable,"[4952, 4952]"
1376,NORTHWEST HARRIS COUNTY MUD 24 WWTP,TX0092312,HOUSTON,TX,6,2022,2022-09-29T11:57:28.064-0500,Other,40.06,0,,Other Management Practice,,,,40.06,Not Applicable,"[4952, 4952]"
1377,LA WARD WWTF,TX0105104,LA WARD,TX,6,2022,2022-09-29T11:55:54.786-0500,Other,1.51,0,,Other Management Practice,,,,1.51,Class B,"[4952, 4952]"
1378,COLONIAL HILLS WWTP,TX0027707,AUSTIN,TX,6,2022,2022-09-29T12:02:16.005-0500,Other,22.68,0,,Other Management Practice,,,,22.68,Not Applicable,"[4952, 4952]"
1379,MOUNT HOUSTON UTILITIES WWTP,TX0120189,HOUSTON,TX,6,2022,2022-09-30T13:11:46.514-0500,Other,8.31,0,,Other Management Practice,,,,8.31,Class B,[4952]
1380,TORNILLO WWTF,TX0126772,TORNILLO,TX,6,2022,2022-09-29T12:28:30.240-0500,Other,3328.0,0,,Surface Disposal,,3328.0,,,Class B,"[4952, 4952]"
1381,MIDFIELD WWTP,TX0098205,MIDFIELD,TX,6,2022,2022-09-29T12:01:32.977-0500,Other,0.76,0,,Other Management Practice,,,,0.76,Class B,[4952]
1382,NORTHWEST HARRIS COUNTY MUD 10 WWTP,TX0075159,HOUSTON,TX,6,2022,2022-09-30T12:53:10.208-0500,Other,88.14,0,,"Land Application, Other Management Practice",85.12,,,3.02,Class B,"[4952, 4952]"
1383,ROLLING HILLS WWTP,TX0070165,HOUSTON,TX,6,2022,2022-09-29T12:02:41.070-0500,Other,12.09,0,,Other Management Practice,,,,12.09,Not Applicable,"[4952, 4952]"
1384,PARK CREEK WWTF,TX0128180,HOUSTON,TX,6,2022,2022-09-30T13:38:56.927-0500,Other,9.83,0,,Other Management Practice,,,,9.83,Class B,"[4952, 4952]"
1385,SHELDON WOODS WWTP,TX0020991,HOUSTON,TX,6,2022,2022-09-29T12:05:58.476-0500,Other,55.66,0,,Other Management Practice,,,,55.66,Not Applicable,"[4952, 4952]"
1386,GREENWOOD VILLAGE WWTP,TX0032034,AUSTIN,TX,6,2022,2022-09-29T12:13:07.398-0500,Other,27.97,0,,Other Management Practice,,,,27.97,Not Applicable,"[4952, 4952]"
1387,NW HARRIS COUNTY MUD 20 WWTP,TX0081337,HOUSTON,TX,6,2022,2022-09-30T12:58:27.097-0500,Other,99.21659749,0,,"Land Application, Other Management Practice",8.1265975,,,91.09,Class B,"[4952, 4952]"
1388,TDCJ LUTHER  UNIT WWTP,TX0089028,HUNTSVILLE,TX,6,2022,2022-09-29T12:21:31.988-0500,Other,16.1,0,,Other Management Practice,,,,16.1,Class B,"[9223, 9223]"
1389,HARBOR POINT WWTP,TX0106704,PFLUGERVILLE,TX,6,2022,2022-09-29T16:18:42.792-0500,Other,42.7,0,,Other Management Practice,,,,42.69,Not Applicable,[4952]
1390,BOERNE WWT AND RECYCLING CENTER,TX0131831,BOERNE,TX,6,2022,2022-09-29T12:50:30.142-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",223.9,0,,Other Management Practice,,,,223.9,Not Applicable,"[4952, 4952]"
1391,CEDAR POINT WWTP,TX0088862,AUSTIN,TX,6,2022,2022-09-29T12:23:19.298-0500,Other,14.36,0,,Other Management Practice,,,,14.36,Not Applicable,[4952]
1392,TDCJ WALLACE PACK UNIT WWTF,TX0089010,HUNTSVILLE,TX,6,2022,2022-09-29T12:30:05.951-0500,Other,5.15,0,,Other Management Practice,,,,5.15,Class B,"[4952, 4952]"
1393,NW HARRIS COUNTY MUD 29 WWTP,TX0093726,HOUSTON,TX,6,2022,2022-09-30T13:03:39.710-0500,Other,72.57,0,,Other Management Practice,,,,72.57,Class B,"[4952, 4952]"
1394,REDWOOD WWTP,TX0096679,AUSTIN,TX,6,2022,2022-09-29T12:28:54.194-0500,Other,7.56,0,,Other Management Practice,,,,7.56,Not Applicable,[6515]
1395,CITY OF ITASCA WWTP,TX0023892,ITASCA,TX,6,2022,2022-09-30T09:02:00.717-0500,Other,0.0,0,,Other Management Practice,,,,,Not Applicable,"[4952, 4952]"
1396,PORT ADVENTURE,TX0112747,AUSTIN,TX,6,2022,2022-09-29T12:33:52.260-0500,Other,3.02,0,,Other Management Practice,,,,3.02,Not Applicable,[4952]
1397,TERRELL UNIT WWTP,TX0115169,HUNTSVILLE,TX,6,2022,2022-09-29T12:47:38.588-0500,Other,7.25,0,,Other Management Practice,,,,7.25,Class B,"[9223, 9223]"
1398,LAKE LIVINGSTON VILLAGE WWTP,TX0105031,AUSTIN,TX,6,2022,2022-09-29T12:37:40.564-0500,Other,4.54,0,,Other Management Practice,,,,4.54,Not Applicable,[4952]
1399,NORTHWEST HARRIS COUNTY MUD 32 WWTP,TX0098647,HOUSTON,TX,6,2022,2022-09-30T13:05:56.940-0500,Other,103.78,0,,Other Management Practice,,,,103.78,Class B,"[4952, 4952]"
1400,IMPERIAL VALLEY  WWTP,TX0119270,AUSTIN,TX,6,2022,2022-09-29T12:41:47.364-0500,Other,9.07,0,,Other Management Practice,,,,9.07,Not Applicable,[4952]
