,Unnamed: 0,FACILITY_CODE,SOURCE,FACILITY,CITY,LATITUDE,LONGITUDE,FLOW_2012_MGD,2012_TOT_ANNUAL_MM3,CWNS_NUM,NPDES_ID,sic_code_type
3124,4067,IL05285,ICIS2022,"ENERGY STP, VILLAGE OF",ENERGY,37.773333,-89.038333,0.16,0.22121936,17009917001,ILG580117,sewer_system
3125,4068,IL05305,ICIS2022,ERIE STP,ERIE,41.641667,-90.06,0.19,0.26269799,17005913001,IL0020303,sewer_system
3126,4069,IL05310,ICIS2022,"ESSEX WWTP, VILLAGE OF",ESSEX,41.186806,-88.155056,0.176,0.243341296,17002002001,IL0076368,sewer_system
3127,4070,IL05315,ICIS2022,"EUREKA STP, CITY OF",EUREKA,40.701667,-89.27,0.59,0.815746391,17000299002,IL0025119,drinking_water
3128,4071,IL05320,ICIS2022,"EVANSVILLE STP, VILLAGE OF",EVANSVILLE,38.083333,-89.946667,0.17,0.23504557,17007511001,IL0021440,sewer_system
3129,4072,IL05325,ICIS2022,"FAIRFIELD STP, CITY OF",FAIRFIELD,38.376667,-88.35,0.91,1.258185112,17000598001,IL0020605,sewer_system
3130,4073,IL05335,ICIS2022,"FARMER CITY STP, CITY OF",FARMER CITY,40.235,-88.65,0.36,0.497743561,17009302001,IL0022462,sewer_system
3131,4074,IL05340,ICIS2022,"FARMERSVILLE STP, VILLAGE OF",FARMERSVILLE,39.435,-89.651667,0.125,0.172827625,17005317001,ILG580126,sewer_system
3132,4075,IL05350,ICIS2022,FLANAGAN STP,FLANAGAN,40.845,-88.858333,0.128,0.176975488,17000603001,ILG580057,sewer_system
3133,4076,IL05360,ICIS2022,"FLORA STP, CITY OF",FLORA,38.653056,-88.479167,1,1.382621002,17005201001,IL0020273,sewer_system
3134,4077,IL05365,ICIS2022,FOX RIVER WRD - NORTH WRF,ELGIN,42.051111,-88.293333,7.75,10.71531277,17000643002,IL0028665,sewer_system
3135,4078,IL04930,ICIS2022,"BURLINGTON NORTH STP, VILLAGE OF",BURLINGTON,42.061111,-88.536111,0.94,1.299663742,0,IL0078387,sewer_system
3136,4079,IL05375,ICIS2022,"FRANKLIN GROVE STP, VILLAGE OF",FRANKLIN GROVE,41.833333,-89.298333,0.16,0.22121936,17003017001,IL0026522,sewer_system
3137,4080,IL05380,ICIS2022,"FULTON WWTP, CITY OF",FULTON,41.856667,-90.168333,0.466,0.644301387,17005912001,IL0028860,sewer_system
3138,4081,IL05385,ICIS2022,"GALATIA STP, VILLAGE OF",GALATIA,37.843333,-88.601667,0.24,0.331829041,17005612001,ILG580183,sewer_system
3139,4082,IL05390,ICIS2022,GARDNER STP,GARDNER,41.195,-88.3,0.332,0.459030173,17003609001,IL0028894,sewer_system
3140,4083,IL05400,ICIS2022,"GILLESPIE STP, CITY OF ",GILLESPIE,39.11,-89.801667,0.498,0.688545259,17007114001,IL0022497,sewer_system
3141,4084,IL05405,ICIS2022,"GILMAN NORTH STP, CITY OF",GILMAN,40.773333,-87.985,0.5,0.691310501,17000071003,IL0025062,sewer_system
3142,4085,IL05410,ICIS2022,GIRARD WWTP,GIRARD,39.446667,-89.796667,0.55,0.760441551,17001723001,IL0028932,sewer_system
3143,4086,IL04940,ICIS2022,"CAMBRIA STP, VILLAGE OF",CAMBRIA,37.781667,-89.13,0.16,0.22121936,0,ILG580045,sewer_system
3144,4087,IL05430,ICIS2022,GOODFIELD STP,GOODFIELD,40.635,-89.248306,0.2,0.276524201,17000300001,IL0048054,sewer_system
3145,4088,IL05445,ICIS2022,"GRAYVILLE STP, CITY OF",GRAYVILLE,38.255,-87.99,0.4,0.553048401,17003911001,IL0023477,sewer_system
3146,4089,IL05450,ICIS2022,GREATER CHILLICOTHE SD STP,CHILLICOTHE,40.896667,-89.491667,0.8,1.106096802,17000312001,IL0023159,sewer_system
3147,4090,IL05455,ICIS2022,GREEN VALLEY STP,GREEN VALLEY,40.445,-89.653333,0.12,0.16591452,17000325001,IL0058998,sewer_system
3148,4091,IL05460,ICIS2022,"GREENUP, VILLAGE OF",GREENUP,39.246667,-88.176667,0.193,0.266845853,17005302002,ILG580065,sewer_system
3149,4092,IL05465,ICIS2022,"GRIGGSVILLE STP, CITY OF",GRIGGSVILLE,39.715,-90.718333,0.48,0.663658081,17000616001,IL0046302,sewer_system
3150,4093,IL04945,ICIS2022,"CAMBRIDGE STP, VILLAGE OF",CAMBRIDGE,41.302778,-90.216667,0.8,1.106096802,0,IL0061255,sewer_system
3151,4094,IL05480,ICIS2022,"HANOVER STP, VILLAGE OF",HANOVER,42.248333,-90.278333,0.15,0.20739315,17005806001,ILG580189,sewer_system
3152,4095,IL05485,ICIS2022,"HARDIN STW, VILLAGE OF",HARDIN,39.15,-90.601667,0.19,0.26269799,17003101001,ILG580279,sewer_system
3153,4096,IL05490,ICIS2022,"HEBRON WWTP, VILLAGE OF",HEBRON,42.471667,-88.433333,0.33,0.456264931,17000668001,IL0026433,sewer_system
3154,4097,IL05000,ICIS2022,CENTRAL ALEXANDER COUNTY SD STP,OLIVE BRANCH,37.173611,-89.371111,0.1375,0.190110388,0,ILG580257,sewer_system
3155,4098,IL05505,ICIS2022,"HENRY STP, CITY OF",HENRY,41.13,-89.335,0.3,0.414786301,17003216001,IL0070548,sewer_system
3156,4099,IL05515,ICIS2022,"HERRIN STP, CITY OF",HERRIN,37.816111,-89.035833,1.813,2.506691878,17000016001,IL0029165,sewer_system
3157,4100,IL05520,ICIS2022,"HERSCHER STP, VILLAGE OF",HERSCHER,41.061667,-88.095833,0.25,0.345655251,17001902001,IL0032832,sewer_system
3158,4101,IL05530,ICIS2022,"HEYWORTH STP, VILLAGE OF",HEYWORTH,40.32,-89.003333,0.4,0.553048401,17000517001,IL0022993,sewer_system
3159,4102,IL05535,ICIS2022,HILLSBORO STP,HILLSBORO,39.168611,-89.488611,1.045,1.444838948,17005322001,IL0029203,sewer_system
3160,4103,IL05550,ICIS2022,HOLIDAY SHORES SANITARY DISTRICT STP,HOLIDAY SHORES,38.903333,-89.92,0.25,0.345655251,17000736001,ILG580193,sewer_system
3161,4104,IL05015,ICIS2022,CHATSWORTH STP,CHATSWORTH,40.758333,-88.278333,0.184,0.254402264,0,ILG580091,sewer_system
3162,4105,IL05560,ICIS2022,HOOPESTON STP,HOOPESTON,40.45,-87.68,1.32,1.825059723,17003818001,IL0024830,sewer_system
3163,4106,IL05565,ICIS2022,"HOPEDALE STP, VILLAGE OF",HOPEDALE,40.421667,-89.426667,0.22,0.304176621,17000324001,IL0020737,sewer_system
3164,4107,IL05580,ICIS2022,"HULL, VILLAGE OF",HULL,39.703333,-91.215,0.119,0.164531899,17009419001,ILG580114,sewer_system
3165,4108,IL05590,ICIS2022,HURST STP,HURST,37.815,-89.141667,0.2,0.276524201,17009920001,IL0029246,sewer_system
3166,4109,IL05600,ICIS2022,"ILLIOPOLIS STP, VILLAGE OF",ILLIOPOLIS,39.985,-89.231667,0.2,0.276524201,17000391001,ILG580200,sewer_system
3167,4110,IL05630,ICIS2022,"ITASCA STP, VILLAGE OF",ITASCA,41.969722,-88.001111,2.6,3.594814607,17000705001,IL0026280,sewer_system
3168,4111,IL05035,ICIS2022,CHILLICOTHE SD,CHILLICOTHE,40.89724,-89.49557,0,0,0,ILX0116SC,sewer_system
3169,4112,IL05655,ICIS2022,"JOHNSBURG STP, VILLAGE OF",JOHNSBURG,42.373889,-88.264722,0.5,0.691310501,17001017001,IL0074969,sewer_system
3170,4113,IL05665,ICIS2022,"JOY STP, VILLAGE OF",JOY,41.195,-90.893333,0.147,0.203245287,17001311001,ILG580111,sewer_system
3171,4114,IL05690,ICIS2022,"KEITHSBURG STP, CITY OF",KEITHSBURG,41.103333,-90.946667,0.1,0.1382621,17001316001,ILG580246,sewer_system
3172,4115,IL05710,ICIS2022,"KINMUNDY STP, CITY OF",KINMUNDY,38.775,-88.838333,0.146,0.201862666,17001218001,ILG580123,sewer_system
3173,4116,IL05715,ICIS2022,"LACON STP, CITY OF",LACON,41.018333,-89.421667,0.32,0.442438721,17003211001,IL0029378,sewer_system
3174,4117,IL05720,ICIS2022,"LAHARPE STP, CITY OF",LA HARPE,40.591667,-90.976667,0.245,0.338742146,17007601001,ILG580093,sewer_system
3175,4118,IL05725,ICIS2022,LAKE IN THE HILLS SD STP,LAKE IN THE HILLS,42.191667,-88.310833,4.5,6.221794511,17000667001,IL0021733,sewer_system
3176,4119,IL05370,ICIS2022,"FRANKFORT, VILLAGE OF - REGIONAL WWTP",FRANKFORT,41.519167,-87.8575,4.67,6.456840082,0,IL0072192,sewer_system
3177,4120,IL05415,ICIS2022,"GLASFORD STP, VILLAGE OF",GLASFORD,40.565,-89.806667,0.26,0.359481461,0,IL0022527,sewer_system
3178,4121,IL05745,ICIS2022,"LANARK STP, CITY OF",LANARK,42.09,-89.838333,0.34,0.470091141,17005103001,ILG582023,sewer_system
3179,4122,IL05470,ICIS2022,"HAMEL STP, VILLAGE OF",HAMEL,38.881667,-89.85,0.105,0.145175205,0,ILG580011,sewer_system
3180,4123,IL05770,ICIS2022,LEWISTOWN WWTP,LEWISTOWN,40.386667,-90.166667,0.6,0.829572602,17008512001,IL0020320,sewer_system
3181,4124,IL05780,ICIS2022,"LIVINGSTON WWTP, VILLAGE OF",LIVINGSTON,38.963333,-89.77,0.148,0.204627908,17000285002,ILG580115,sewer_system
3182,4125,IL05500,ICIS2022,HENNEPIN PUBLIC WATER DISTRICT WWTP,HENNEPIN,41.265,-89.343333,0.3,0.414786301,0,IL0025313,sewer_system
3183,4126,IL05805,ICIS2022,"LOVINGTON STP, VILLAGE OF",LOVINGTON,39.71676,-88.65467,0.2,0.276524201,17000178001,IL0024210,sewer_system
3184,4127,IL05810,ICIS2022,"MACON STP, CITY OF",MACON,39.693333,-89.005,0.214,0.295880895,17000408001,ILG580141,sewer_system
3185,4128,IL05820,ICIS2022,"MAHOMET STP, VILLAGE OF",MAHOMET,40.185,-88.401667,0.9,1.244358902,17000108001,IL0024414,sewer_system
3186,4129,IL05840,ICIS2022,"MARINE STP, VILLAGE OF",MARINE,38.793333,-89.798333,0.24,0.331829041,17000290001,ILG580228,sewer_system
3187,4130,IL05845,ICIS2022,"MARION WRF, CITY OF",MARION,37.719167,-88.928056,4.95,6.843973962,17000012001,IL0029734,sewer_system
3188,4131,IL05860,ICIS2022,"MCLEANSBORO STP, VILLAGE OF",MCLEANSBORO,38.081667,-88.538333,0.5,0.691310501,17005603001,ILG582007,sewer_system
3189,4132,IL05870,ICIS2022,"MENDON STP, VILLAGE OF",MENDON,40.08,-91.308333,0.12,0.16591452,17002004001,ILG580104,sewer_system
3190,4133,IL05885,ICIS2022,"MINIER STP, VILLAGE OF",MINIER,40.418333,-89.313333,0.18,0.24887178,17000320001,ILG580098,sewer_system
3191,4134,IL05900,ICIS2022,"MOUNT CARMEL STP, CITY OF",MOUNT CARMEL,38.399444,-87.773333,2,2.765242005,17005813001,IL0030023,sewer_system
3192,4135,IL05910,ICIS2022,"MOUNT PULASKI STP, CITY OF",MOUNT PULASKI,40.0335,-89.2987,0.44,0.608353241,17007012001,ILG582025,sewer_system
3193,4136,IL05555,ICIS2022,HOMER WWTP,HOMER,40.031667,-87.944417,0.147,0.203245287,0,IL0050300,sewer_system
3194,4137,IL05920,ICIS2022,"MT STERLING NORTHEAST STP, CITY OF",MOUNT STERLING,39.991667,-90.751667,0.366,0.506039287,17009001001,IL0022411,sewer_system
3195,4138,IL05940,ICIS2022,"NASHVILLE STP, CITY OF",NASHVILLE,38.366667,-89.38,0.5,0.691310501,17009817001,IL0027081,sewer_system
3196,4139,IL05945,ICIS2022,"NEW BERLIN STP, VILLAGE OF",NEW BERLIN,39.731667,-89.898333,0.15,0.20739315,17000392001,ILG580171,sewer_system
3197,4140,IL05635,ICIS2022,"ITASCA, VILLAGE OF - PROSPECT AVENUE WWTP",ITASCA,41.977,-87.9971,3.2,4.424387208,0,IL0079073,sewer_system
3198,4141,IL05980,ICIS2022,"NEWTON STP, CITY OF",NEWTON,38.994444,-88.159167,0.8,1.106096802,17009703001,IL0030121,sewer_system
3199,4142,IL05990,ICIS2022,"NOBLE STP, VILLAGE OF",NOBLE,38.696667,-88.218333,0.1,0.1382621,17009514001,IL0025500,sewer_system
3200,4143,IL05995,ICIS2022,"NORTH UTICA STP, VILLAGE OF",UTICA,41.35,-89.009444,0.3,0.414786301,17009933001,IL0023116,sewer_system
3201,4144,IL06000,ICIS2022,OAK HIGHLANDS-INGALLS PARK SD STP,JOLIET,41.526111,-88.0425,0.25,0.345655251,17000630001,IL0024422,sewer_system
3202,4145,IL06010,ICIS2022,OAKLAND WWTF,OAKLAND,39.665,-88.035,0.15,0.20739315,17009201001,ILG580001,sewer_system
3203,4146,IL06015,ICIS2022,"OBLONG STP, VILLAGE OF",OBLONG,39.01,-87.895,0.4,0.553048401,17003303001,ILG582017,sewer_system
3204,4147,IL06020,ICIS2022,ODIN STP,ODIN,38.608333,-89.055,0.195,0.269611095,17001219001,ILG580187,sewer_system
3205,4148,IL06040,ICIS2022,ONEIDA SD SOUTH - STP,ONEIDA,41.063333,-90.228333,0.2,0.276524201,17005907002,ILG580151,sewer_system
3206,4149,IL06045,ICIS2022,"ORANGEVILLE STP, VILLAGE OF",ORANGEVILLE,42.465,-89.648333,0.2,0.276524201,17007713001,ILG580248,sewer_system
3207,4150,IL06050,ICIS2022,"PALESTINE STP, VILLAGE OF",PALESTINE,38.993333,-87.6,0.22,0.304176621,17003302001,ILG580034,sewer_system
3208,4151,IL06055,ICIS2022,PANA STP,PANA,39.368889,-89.086389,1.17,1.617666573,17001204003,IL0022314,sewer_system
3209,4152,IL06080,ICIS2022,"PERCY STP, VILLAGE OF",PERCY,38.016667,-89.628333,0.1077,0.148908282,17000019001,ILG580109,sewer_system
3210,4153,IL06125,ICIS2022,"POCAHONTAS STP, VILLAGE OF",POCAHONTAS,38.816667,-89.535,0.125,0.172827625,17005008001,ILG580010,sewer_system
3211,4154,IL06130,ICIS2022,"PONTIAC WWTP, CITY OF",PONTIAC,40.877222,-88.646111,3.5,4.839173509,17000626001,IL0030457,sewer_system
3212,4155,IL06135,ICIS2022,"POPLAR GROVE -  NORTH WWTP, VILLAGE OF",POPLAR GROVE,42.351667,-88.815,0.5,0.691310501,17000346001,IL0023451,sewer_system
3213,4156,IL05730,ICIS2022,LAKE OF EGYPT SEWER DIST STP,MARION,37.626667,-88.941667,0.225,0.311089726,0,ILG580053,drinking_water
3214,4157,IL06145,ICIS2022,"POTOMAC STP, VILLAGE OF",POTOMAC,40.306667,-87.795,0.106,0.146557826,17000065001,ILG580247,sewer_system
3215,4158,IL06160,ICIS2022,"PRINCEVILLE STP, VILLAGE OF",PRINCEVILLE,40.926667,-89.766667,0.4,0.553048401,17000310002,IL0051276,sewer_system
3216,4159,IL06175,ICIS2022,"RAMSEY STP, VILLAGE OF",RAMSEY,39.131667,-89.106667,0.171,0.236428191,17001506001,ILG580222,sewer_system
3217,4160,IL06180,ICIS2022,"RAYMOND STP, VILLAGE OF",RAYMOND,39.325,-89.581667,0.1,0.1382621,17000294001,IL0025381,sewer_system
3218,4161,IL05735,ICIS2022,"LAKEWOOD STP, VILLAGE OF",LAKEWOOD,42.226667,-88.401667,2.95,4.078731957,0,IL0045446,sewer_system
3219,4162,IL06200,ICIS2022,"RIDGE FARM STP, VILLAGE OF",RIDGE FARM,39.923333,-87.655,0.449,0.62079683,17003814001,IL0020966,sewer_system
3220,4163,IL06205,ICIS2022,"RIDGWAY STP, VILLAGE OF",RIDGWAY,37.803333,-88.26,0.1942,0.268504999,17000093001,IL0020079,sewer_system
3221,4164,IL06210,ICIS2022,RIVERTON STP,RIVERTON,39.848333,-89.545,0.529,0.73140651,17000422001,IL0021041,sewer_system
3222,4165,IL06215,ICIS2022,"ROANOKE STP, VILLAGE OF",ROANOKE,40.796667,-89.186667,0.22,0.304176621,17000433001,ILG580074,sewer_system
3223,4166,IL06225,ICIS2022,"ROODHOUSE STP, CITY OF",ROODHOUSE,39.481667,-90.368333,0.496,0.685780017,17000139001,ILG582010,sewer_system
3224,4167,IL06230,ICIS2022,"ROSSVILLE STP, VILLAGE OF",ROSSVILLE,40.383333,-87.68,0.18,0.24887178,17003813001,ILG580064,sewer_system
3225,4168,IL06240,ICIS2022,"ROYALTON STP, VILLAGE OF",ROYALTON,37.863333,-89.106667,0.135,0.186653835,17006501001,IL0023337,sewer_system
3226,4169,IL06250,ICIS2022,SAINT FRANCISVILLE SW STP,SAINT FRANCISVILLE,38.585,-87.655,0.12,0.16591452,17001011001,ILG580188,sewer_system
3227,4170,IL06275,ICIS2022,"SANDOVAL STP, VILLAGE OF",SANDOVAL,38.603333,-89.115,0.18,0.24887178,17001212001,IL0030961,sewer_system
3228,4171,IL06280,ICIS2022,SANGAMON VALLEY PWD STP,MAHOMET,40.216667,-88.371667,0.4,0.553048401,17000102001,IL0046141,sewer_system
3229,4172,IL06290,ICIS2022,SENECA WTP,SENECA,41.311667,-88.616667,0.384,0.530926465,17009935001,IL0022446,sewer_system
3230,4173,IL06300,ICIS2022,"SHEFFIELD STP, VILLAGE OF",SHEFFIELD,41.348333,-89.735,0.132,0.182505972,17001104001,ILG580255,sewer_system
3231,4174,IL06305,ICIS2022,"SHERRARD STP, VILLAGE OF",SHERRARD,41.313333,-90.503333,0.18,0.24887178,17001319001,ILG580037,sewer_system
3232,4175,IL05755,ICIS2022,LCDPW-DIAMOND-SYLVAN LAKE WRF,MUNDELEIN,42.241667,-88.025,0.34,0.470091141,0,IL0022080,sewer_system
3233,4176,IL05785,ICIS2022,"LOAMI STW, VILLAGE OF",LOAMI,39.666389,-89.843333,0.25,0.345655251,0,ILG580275,sewer_system
3234,4177,IL06345,ICIS2022,"SPARLAND STP, VILLAGE OF",SPARLAND,41.033333,-89.435,0.105,0.145175205,17000622001,ILG580226,sewer_system
3235,4178,IL06350,ICIS2022,"SPARTA - SOUTHEAST STP, CITY OF",SPARTA,38.118333,-89.686667,0.9,1.244358902,17007514001,IL0031160,sewer_system
3236,4179,IL06355,ICIS2022,"SPARTA NORTHWEST STP, CITY OF ",SPARTA,38.145,-89.715,0.25,0.345655251,17007514002,IL0066133,sewer_system
3237,4180,IL05915,ICIS2022,"MOUNT STERLING STP, CITY OF",MOUNT STERLING,39.955,-90.763333,0.25,0.345655251,0,ILG580089,sewer_system
3238,4181,IL06370,ICIS2022,"STAUNTON STP, CITY OF",STAUNTON,39.02,-89.803333,0.91,1.258185112,17007130001,IL0031232,sewer_system
3239,4182,IL06375,ICIS2022,STEELEVILLE STP,STEELEVILLE,38.003333,-89.652222,0.5,0.691310501,17007521001,IL0031241,sewer_system
3240,4183,IL06380,ICIS2022,"STEWARDSON STP, VILLAGE OF",STEWARDSON,39.255,-88.628333,0.11,0.15208831,17003717001,ILG580163,sewer_system
3241,4184,IL06390,ICIS2022,"STONINGTON STP, VILLAGE OF",STONINGTON,39.641667,-89.21,0.15,0.20739315,17001205001,ILG580173,sewer_system
3242,4185,IL06400,ICIS2022,"STRONGHURST STP, VILLAGE OF",STRONGHURST,40.74,-90.91,0.11,0.15208831,17001708001,IL0064025,sewer_system
3243,4186,IL06410,ICIS2022,"SUMNER WWTP, CITY OF",SUMNER,38.718333,-87.861667,0.2,0.276524201,17001014001,ILG580118,sewer_system
3244,4187,IL06440,ICIS2022,"TEUTOPOLIS STP, VILLAGE OF",TEUTOPOLIS,39.141667,-88.468333,0.372,0.514335013,17009400001,ILG582024,sewer_system
3245,4188,IL05975,ICIS2022,"NEW WINDSOR STP, VILLAGE OF ",NEW WINDSOR,41.208333,-90.446389,0.1,0.1382621,0,IL0079162,sewer_system
3246,4189,IL06140,ICIS2022,"POPLAR GROVE SOUTH STP, VILLAGE OF",POPLAR GROVE,42.3339,-88.846,1,1.382621002,0,IL0071447,sewer_system
3247,4190,IL06465,ICIS2022,"TOLEDO STP, VILLAGE OF",TOLEDO,39.266667,-88.253333,0.179,0.247489159,17000594001,ILG580158,sewer_system
3248,4191,IL06470,ICIS2022,"TOLONO STP, VILLAGE OF",TOLONO,39.253889,-88.256389,0.235,0.324915936,17000101001,IL0031453,sewer_system
3249,4192,IL06475,ICIS2022,"TOULON STP, CITY OF",TOULON,41.085,-89.86,0.16,0.22121936,17006702001,IL0025054,sewer_system
3250,4193,IL06480,ICIS2022,"TOWER HILL STP, VILLAGE OF",TOWER HILL,39.375,-88.948333,0.1,0.1382621,17003720001,ILG580244,sewer_system
3251,4194,IL06485,ICIS2022,"TROY STP, CITY OF",TROY,38.72541,-89.86902,1.35,1.866538353,17000284001,IL0031488,sewer_system
3252,4195,IL06185,ICIS2022,REND LAKE CONSERVANCY DISTRICT - STP,EWING,38.088333,-88.845,0.5,0.691310501,0,IL0065111,sewer_system
3253,4196,IL06510,ICIS2022,VANDALIA STP,VANDALIA,38.971566,-89.089705,1.3,1.797407303,17001502001,IL0023574,sewer_system
3254,4197,IL06520,ICIS2022,VERMONT SD STP,VERMONT,40.286667,-90.416667,0.1155,0.159692726,17007515001,IL0049654,sewer_system
3255,4198,IL06535,ICIS2022,"VIENNA STP, CITY OF ",VIENNA,37.413056,-88.891667,0.4,0.553048401,17007807001,IL0031593,sewer_system
3256,4199,IL06540,ICIS2022,VILLA GROVE STP,VILLA GROVE,39.871667,-88.169444,0.6,0.829572602,17001404001,IL0059005,sewer_system
3257,4200,IL06550,ICIS2022,VIRDEN SANITARY DISTRICT - NORTH STP,VIRDEN,39.52,-89.766667,0.2,0.276524201,17007131002,IL0023426,sewer_system
3258,4201,IL06555,ICIS2022,VIRDEN SANITARY DISTRICT EAST STP,VIRDEN,39.499722,-89.749722,0.4,0.553048401,17007131001,IL0066087,sewer_system
3259,4202,IL06560,ICIS2022,"VIRGINIA STP, CITY OF",VIRGINIA,39.95,-90.216667,0.354,0.489447835,17007104001,ILG582004,sewer_system
3260,4203,IL06570,ICIS2022,WAMAC STW,WAMAC,38.501667,-89.151667,0.15,0.20739315,17001216001,ILG580144,sewer_system
3261,4204,IL06580,ICIS2022,"WASHBURN STP, VILLAGE OF",WASHBURN,40.922778,-89.304722,0.138,0.190801698,17000302001,IL0039411,sewer_system
3262,4205,IL06585,ICIS2022,"WATAGA NORTH STP, VILLAGE OF",WATAGA,41.031667,-90.271667,0.11,0.15208831,17005910001,ILG580023,sewer_system
3263,4206,IL06595,ICIS2022,"WATSON WTP, VILLAGE OF",WATSON,39.0199,-88.5712,0.1,0.1382621,17009401001,ILG580056,sewer_system
3264,4207,IL06600,ICIS2022,WAUCONDA WWTF,WAUCONDA,42.259444,-88.147778,1.9,2.626979905,17000134001,IL0020109,sewer_system
3265,4208,IL06605,ICIS2022,WEST CHICAGO REGIONAL WASTEWATER TREATMENT PLANT,WEST CHICAGO,41.864722,-88.192778,7.64,10.56322446,17000718001,IL0023469,sewer_system
3266,4209,IL06335,ICIS2022,SOUTH FORK SD STP,TOVEY,39.585,-89.418333,0.102,0.141027342,0,IL0050148,sewer_system
3267,4210,IL06340,ICIS2022,SOUTH WILMINGTON EAST BROOKLYN STP,SOUTH WILMINGTON,41.176667,-88.265,0.1,0.1382621,0,IL0054321,sewer_system
3268,4211,IL06665,ICIS2022,"WOODLAWN STP, VILLAGE OF",WOODLAWN,38.333333,-89.031667,0.15,0.20739315,17000014001,ILG580161,sewer_system
3269,4212,IL06675,ICIS2022,"WYOMING STP, CITY OF",WYOMING,41.06,-89.79,0.426,0.588996547,17005713001,IL0026336,sewer_system
3270,4213,IL06685,ICIS2022,"YATES CITY NORTHWEST STP, VILLAGE OF",YATES CITY,40.79,-90.031667,0.12,0.16591452,17005909001,IL0020346,sewer_system
3271,4214,IL06690,ICIS2022,"ZEIGLER STP, CITY OF",ZEIGLER,37.881667,-89.063333,0.235,0.324915936,17006502001,IL0023299,sewer_system
3750,4715,IN04995,ICIS2022,CHESTERFIELD WWTP,0,40.116083,-85.617778,0.52,0.718962921,18000703001,IN0063983,sewer_system
3751,4716,IL06360,ICIS2022,"ST ANNE STP, VILLAGE OF",SAINT ANNE,41.048694,-87.656389,0.154,0.212923634,0,IL0025755,sewer_system
3752,4717,IN05015,ICIS2022,GEORGETOWN WATER RECLAMATION FACILITY,0,38.296111,-85.988889,0.28,0.387133881,18001053001,IN0063771,sewer_system
3753,4718,IL06455,ICIS2022,THOMSON MUNICIPAL WASTEWATER TREATMENT PLANT,THOMSON,41.968056,-90.121111,0.8,1.106096802,0,IL0073890,sewer_system
3754,4719,IL06460,ICIS2022,"TISKILWA STP, VILLAGE OF",TISKILWA,41.29,-89.485,0.12,0.16591452,0,IL0025160,sewer_system
4444,5635,IL06490,ICIS2022,TUSCOLA - SOUTHSIDE STP,TUSCOLA,39.785556,-88.272778,0.75,1.036965752,0,IL0026107,sewer_system
4445,5636,IL06610,ICIS2022,"WEST CITY STP, VILLAGE OF",BENTON,38.018333,-88.938333,0.1,0.1382621,0,ILG580215,sewer_system
4446,5637,IL06630,ICIS2022,WILLIAMSFIELD  WWTP,WILLIAMSFIELD,40.928333,-90.01,0.1,0.1382621,0,ILG580087,sewer_system
4447,5638,IN05000,ICIS2022,CLEVELAND-CLIFFS LLC WWTP,BURNS HARBOR,41.620444,-87.146333,1.05,1.451752053,0,INJ060801,sewer_system
4448,5639,IN05050,ICIS2022,TRICO WATER RESOURCE RECOVERY FACILITY,BOONE COUNTY,39.9375,-86.242,5.72,7.908592134,0,IN0055760,sewer_system
4449,5640,IN05055,ICIS2022,WINFIELD WWTP,CROWN POINT,41.413806,-87.250889,0.33,0.456264931,0,IN0058343,sewer_system
4716,5931,LA02920,ICIS2022,"BROUSSARD, CITY OF",BROUSSARD,30.170833,-91.951667,1,1.382621002,22000155001,LA0020613,sewer_system
4717,5932,KY02830,ICIS2022,BATH COUNTY INDUSTRIAL PARK,OWINGSVILLE,38.127222,-83.769444,0.147,0.203245287,0,KY0106887,sewer_system
4718,5933,KY02835,ICIS2022,BELFRY WWTP,BELFRY,37.62417,-82.27208,0,0,0,KY0108260,sewer_system
4719,5934,KY02850,ICIS2022,CROFTON WWTP,CROFTON,37.0525,-87.472222,0.12,0.16591452,0,KY0066591,sewer_system
4720,5935,KY02860,ICIS2022,LAKE CITY WWTP,GRAND RIVERS,37.040278,-88.232222,0,0,0,KY0110795,sewer_system
4721,5936,KY02865,ICIS2022,NEW MARION WWTP,MARION,37.331667,-88.081389,0,0,0,KY0113247,sewer_system
4722,5937,KY02875,ICIS2022,OLDHAM COUNTY ENVIRONMENTAL AUTHORITY REGIONAL WWTP,CRESTWOOD,38.325,-85.545167,0,0,0,KY0111716,sewer_system
4723,5938,LA02925,ICIS2022,CARVILLE WWTF,SAINT GABRIEL,30.229167,-91.098333,0.214,0.295880895,0,LA0115771,sewer_system
4724,5939,LA02970,ICIS2022,"SICILY ISLAND, VILLAGE OF WWTF",SICILY ISLAND,31.853611,-91.665,0.1,0.1382621,22003060001,LA0063533,sewer_system
4725,5940,LA02930,ICIS2022,COUNTRY CLUB SUBDIVISION WWTP,THIBODAUX,29.777778,-90.797778,0.181,0.250254401,0,LA0118346,sewer_system
4726,5941,LA02935,ICIS2022,DOGWOOD SUBDIVISION SOUTHPOND,HAUGHTON,32.569444,-93.633889,0.46,0.636005661,0,LA0059471,sewer_system
4727,5942,LA02940,ICIS2022,LAKESHORE SUBDIVISION WASTEWATER TREATMENT FACILITY,MONROE,32.552778,-91.999167,0.5,0.691310501,0,LA0047341,sewer_system
4728,5943,LA02955,ICIS2022,MINDEN DIESEL POWER PLANT,MINDEN,32.609167,-93.290278,0.5,0.691310501,0,LA0109886,sewer_system
4729,5944,LA02960,ICIS2022,MINDEN STEAM POWER PLANT,MINDEN,32.603611,-93.295,0.5,0.691310501,0,LA0109894,sewer_system
